Marine Scotland Site ID,Date Registered,Site Name,National Grid Reference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,Water Type,Health Surveillance,Easting,Northing,MS Management Area,Region,Operator,Species
FS0088,30-Oct-85,Cloudin,HU233475,Shetland,Yes,Burrastow Shorebase,Walls,,ZE2 9PD,,Fish,Seawater,Medium,423300,1147500,"3b - Gruting, Vaila, Walls",Shetland,Cooke Aquaculture Scotland Ltd,"Lumpsucker, N/A, Atlantic Salmon, Wrasse"
FS0489,27-Feb-91,Cole Deep,HU357632,Shetland,Yes,Gremista,Lerwick,,ZE1 0PX,,Fish,Seawater,Medium,435700,1163200,4a - South St Magnus Bay,Shetland,Scottish Sea Farms Ltd,"Lumpsucker, Atlantic Salmon, N/A"
SS0727,13-Oct-04,Cole Ness Shellfish,HU354624,Shetland,Yes,Cole Ness,Gonfirth,"Delting, Shetland",-,,Shellfish,Seawater,Medium,435400,1162400,4a - South St Magnus Bay,Shetland,Suthra Voe Shellfish,"Common mussel, N/A"
FS0378,01-Jan-89,Coleness,HU364624,Shetland,No,N/A,,,,,Fish,Seawater,Medium,436400,1162400,,Shetland,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
FS0461,23-Mar-89,Collafirth 2,HU443697,Shetland,No,N/A,,,,,Fish,Seawater,,444300,1169700,,Shetland,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
FS0999,16-Aug-00,Collafirth 3,HU454705,Shetland,Yes,Hamnavoe,Lunnaness,Vidlin,ZE2 9QF,,Fish,Seawater,Medium,445400,1170500,2c - NE Shetland mainland,Shetland,Scottish Sea Farms Ltd,"N/A, Atlantic Salmon"
FS0394,23-Mar-89,Collafirth I,HU433692,Shetland,No,N/A,,,,,Fish,Seawater,,443300,1169200,,Shetland,Scottish Sea Farms Ltd,"N/A, Atlantic Salmon"
FS0052,17-Aug-73,College Mill,NO067259,Perth and Kinross,Yes,College Mill Trout Farm,Almondbank,,PH1 3JY,,Fish,Freshwater,Medium,306700,725900,Not in a management area,Tayside,College Mill Trout Farm,"Brown Trout and sea trout, Rainbow Trout, N/A"
FS1296,09-Apr-15,Colonsay,NR434968,Argyll and Bute,Yes,Stob Ban House,Glen Nevis Business Park,,PH33 6RX,,Fish,Seawater,Low,143400,696800,16e - Colonsay,Strathclyde,Mowi Scotland Ltd,"Atlantic Salmon, Wrasse, N/A, Lumpsucker"
SS0927,08-May-19,Corgrain Point,NH610483,Highland,Yes,South by Southwest,Hights of Inchvannie,,IV14 9AE,,Shellfish,Seawater,Low,261000,848300,Not in a management area,Highland,Beauly Firth Oysters,"N/A, Pacific Oyster"
FS1287,28-May-14,Corlarach,NG227523,Highland,Yes,Dunvegan Pier,Dunvegan,Skye,IV55 8WF,,Fish,Seawater,Low,122700,852300,12b - Dunvegan,Highland,Loch Duart Ltd,"Lumpsucker, Wrasse, Atlantic Salmon, N/A"
SS0425,21-Jul-88,Cormorant Point,NC249534,Highland,Yes,South East Shore,Loch Inchard,West Sutherland,-,,Shellfish,Seawater,Medium,224900,953400,9b - Laxford,Highland,Norman Ross,"N/A, Common mussel"
SS0746,23-Aug-05,Corr Eilean - Loch Beag,NM726833,Highland,Yes,Loch Beag,West Lochaber,,-,,Shellfish,Seawater,Low,172600,783300,15c - Ailort,Highland,Arisaig Mussels,"Common mussel, N/A"
SS0846,08-Aug-12,Corran Mor,NB103339,Western Isles,No,West Earshader,Bernera,,HS2 9LP,,Shellfish,Seawater,Medium,110300,933900,6a - Loch Roag,Western Isles,Loch Fyne Oysters Ltd,"Common mussel, N/A"
FS0057,20-Sep-84,Corry Farm,NH155905,Highland,Yes,Ardmair,,,IV26 2TN,,Fish,Seawater,Low,215500,890500,10b - Loch Broom,Highland,Wester Ross Fisheries Ltd,"N/A, Lumpsucker, Wrasse, Atlantic Salmon"
FS0301,01-Jan-85,Couldoran Hatchery,NG841442,Highland,Yes,Couldoran,Kishorn,,IV54 8UY,,Fish,Freshwater,Medium,184100,844200,Not in a management area,Highland,Bakkafrost Scotland,"N/A, Atlantic Salmon"
FS1051,24-Jan-03,Couldoran Incubation Unit,NG841441,Highland,Yes,Couldoran,Kishorn,,IV54 8UY,,Fish,Freshwater,High,184100,844100,Not in a management area,Highland,Bakkafrost Scotland,"Atlantic Salmon, N/A"
FS0388,01-Aug-95,Coutts Mill,HP595016,Shetland,Yes,Coutts Mill Hatchery,Uyeasound Unst,,ZE2 9DN,,Fish,Freshwater,Low,459500,1201600,,Shetland,Cooke Aquaculture (Freshwater) Ltd,"Atlantic Salmon, N/A"
